id,Geographic Area Name,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Margin of Error!!VALUE!!Owner-occupied units!!Median (dollars)
1400000US17031291600,"Census Tract 2916, Cook County, Illinois",193100,157074
1400000US17031292200,"Census Tract 2922, Cook County, Illinois",132200,35329
1400000US17031292400,"Census Tract 2924, Cook County, Illinois",108000,52272
1400000US17031292500,"Census Tract 2925, Cook County, Illinois",160600,11723
1400000US17031300500,"Census Tract 3005, Cook County, Illinois",166400,8449
1400000US17031300600,"Census Tract 3006, Cook County, Illinois",157200,21061
1400000US17031300700,"Census Tract 3007, Cook County, Illinois",167000,8744
1400000US17031300800,"Census Tract 3008, Cook County, Illinois",168100,11396
1400000US17031300900,"Census Tract 3009, Cook County, Illinois",122600,65415
1400000US17031301100,"Census Tract 3011, Cook County, Illinois",156300,7710
1400000US17031301200,"Census Tract 3012, Cook County, Illinois",161700,42436
1400000US17031301600,"Census Tract 3016, Cook County, Illinois",148200,15041
1400000US17031301701,"Census Tract 3017.01, Cook County, Illinois",161000,8539
1400000US17031301702,"Census Tract 3017.02, Cook County, Illinois",154800,16178
1400000US17031301801,"Census Tract 3018.01, Cook County, Illinois",138600,17325
1400000US17031301802,"Census Tract 3018.02, Cook County, Illinois",150700,22689
1400000US17031301803,"Census Tract 3018.03, Cook County, Illinois",152700,25439
1400000US17031310200,"Census Tract 3102, Cook County, Illinois",243900,27225
1400000US17031310300,"Census Tract 3103, Cook County, Illinois",287000,73197
1400000US17031310400,"Census Tract 3104, Cook County, Illinois",269900,19701
1400000US17031310500,"Census Tract 3105, Cook County, Illinois",283600,63269
1400000US17031310600,"Census Tract 3106, Cook County, Illinois",282200,24305
1400000US17031310700,"Census Tract 3107, Cook County, Illinois",224300,46981
1400000US17031310800,"Census Tract 3108, Cook County, Illinois",311500,30082
1400000US17031310900,"Census Tract 3109, Cook County, Illinois",227300,40797
